Nodes,NodeType,ZeroAct,UpAct,DownAct,AvgAct,measured,Activity,t
CASP3,,0,1,0,1,0,1,18.18918886264268
CASP6,,0,1,0,1,0,1,-0.7336771072416651
CTNNB1,,0,0,1,-1,0,-1,-2.751108442277967
Enzyme1108__orphanReacNA,,0,1,0,1,0,1,NA
Enzyme3809__ASL,,0,1,0,1,0,1,NA
Enzyme9303__orphanReacNA,,0,1,0,1,0,1,NA
HIPK2,,0,1,0,1,0,1,-6.249728768437204
KLF4,M,0,1,0,1,1,1,-0.08634907340508734
MAPK1,,0,0,1,-1,0,-1,9.185924865163408
MAPK8,,0,1,0,1,0,1,-3.0083587246687244
Metab__Argininosuccinic acid_c,P,0,1,0,1,1,1,NA
Metab__L-Arginine_c,,0,1,0,1,0,1,NA
Metab__Nitric oxide_c,,0,1,0,1,0,1,NA
nwharg_c,,0,1,0,1,0,1,NA
PAX6,M,0,1,0,1,1,1,0.7303247312146846
RHOA,,0,0,1,-1,0,-1,8.777531621753777
SNAI2,M,0,0,1,-1,1,-1,-9.071851479104913
SRF,M,0,1,0,1,1,1,4.261188884877208
STAT2,M,0,0,1,-1,1,-1,-1.2002501122293592
